atom,species,x_A,y_A,z_A,eigenvector_x_real,eigenvector_x_imag,eigenvector_y_real,eigenvector_y_imag,eigenvector_z_real,eigenvector_z_imag,amplitude,site_projection
1,Ga,3.4994238585843336,4.180478293927459,12.248750999999999,0.0567724763212923,0.03881458085528112,-0.10258072051686234,0.02949476398925727,-0.31663912738942196,-0.23314319232548425,0.4132051744603591,0.052128400564898175
2,Ga,1.9773775125771198,1.8444196941950441,11.563362,-0.061737326608085424,0.011919789792007973,-0.24146238662081843,-0.10339117949087985,-0.13527708915644382,-0.08874914882897433,0.31483916735857986,0.019200546279860824
3,Ga,3.499478583672995,4.183016967646515,18.438357,0.0033066384339090938,0.0024131294502288386,-0.000368003305385792,-0.00343392333128917,-0.012837928368261945,0.0007880841294094254,0.01393261600481996,5.267672970198247e-08
4,Ga,1.9771083493665407,1.8469125773883812,17.753159999999998,0.0037394764124726873,0.0025901901524973195,-0.0002065877125372803,0.0025770233672913864,-0.012455544819415037,-0.013820712125979401,0.019326902938694594,2.8126821751252393e-07
5,O,1.8889873245125162,3.3507350225105337,12.889224,0.004216672633116271,0.0027387752522434698,-0.058988016880989244,-0.007983936512227409,-0.1276214778935032,-0.09230258456570278,0.1684506436110915,0.0015402392046183872
6,O,1.7073632334799154,0.1151409568016588,11.903523,0.8061922856212355,-1.5444468388515775e-16,0.04598793725973379,-0.03909761160631041,0.09922078189957427,0.005269767602482853,0.8145317974230728,0.9241779363667807
7,O,3.5530371831942635,2.6645987975928445,10.923347999999999,0.010136028758643518,0.0063622433130556015,-0.1186573994306022,-0.05710905599763023,-0.12133844081493132,-0.07260132410388377,0.19359289609017236,0.002952519108039761
8,O,1.888907448516204,3.3535993913383315,19.081044,0.0018371812657761307,0.0014527784175877134,4.3979482998075685e-05,-0.0034863207463021544,-0.006454505839692076,-0.0020967112655590108,0.007981165982529759,3.6579860412580166e-09
9,O,1.7073251669398541,0.115643393900806,18.083961000000002,-0.004246709791892002,0.0003296146696302522,0.00043769359393911866,0.00047595455602941484,-0.0007182800809499135,-0.00879633237587995,0.009821032931937994,7.592407465944931e-09
10,O,3.55288435347404,2.6672942557454937,17.115273,0.001722658533508749,0.0013143690191163662,-0.0014980811100796176,0.002294656697368725,-0.007231627168018648,-0.005441031415698534,0.00970082826754931,1.3280461428361426e-08
