# Tetrahedron method
       -1.8476713589        0.0000000000
       -1.7368153211        0.0000000000
       -1.6259592833        0.0000000000
       -1.5151032456        0.0000000000
       -1.4042472078        0.0000000000
       -1.2933911700        0.0000000000
       -1.1825351323        0.0000000000
       -1.0716790945        0.0000000000
       -0.9608230567        0.0000000000
       -0.8499670190        0.0000000000
       -0.7391109812        0.0000000000
       -0.6282549434        0.0000000000
       -0.5173989057        0.0000000000
       -0.4065428679        0.0000000000
       -0.2956868301        0.0000000000
       -0.1848307924        0.0000000000
       -0.0739747546        0.0000000000
        0.0368812832        0.0000413623
        0.1477373209        0.0006618254
        0.2585933587        0.0020268528
        0.3694493965        0.0044235123
        0.4803054343        0.0100310574
        0.5911614720        0.0156376882
        0.7020175098        0.0226141844
        0.8128735476        0.0306224113
        0.9237295853        0.0410295834
        1.0345856231        0.0525320487
        1.1454416609        0.0643778212
        1.2562976986        0.0775882191
        1.3671537364        0.0915359238
        1.4780097742        0.1084560931
        1.5888658119        0.1271652408
        1.6997218497        0.1472677018
        1.8105778875        0.1690975112
        1.9214339252        0.1921835287
        2.0322899630        0.2219422687
        2.1431460008        0.2520834014
        2.2540020385        0.2831762432
        2.3648580763        0.3244522111
        2.4757141141        0.3679883607
        2.5865701518        0.4183143044
        2.6974261896        0.4778530627
        2.8082822274        0.5513943480
        2.9191382651        0.6348013052
        3.0299943029        0.7445737344
        3.1408503407        0.9028296365
        3.2517063784        1.1402431575
        3.3625624162        1.6761479826
        3.4734184540        2.2659433763
        3.5842744917        2.4010533751
        3.6951305295        2.2700650081
        3.8059865673        2.4801122102
        3.9168426050        2.9099850528
        4.0276986428        3.1141852735
        4.1385546806        2.9556287495
        4.2494107183        2.4862446581
        4.3602667561        1.9912276106
        4.4711227939        2.3079275271
        4.5819788317        2.3447418485
        4.6928348694        2.3626477357
        4.8036909072        2.7871015000
        4.9145469450        2.8777014518
        5.0254029827        1.7787411522
        5.1362590205        1.6360040593
        5.2471150583        1.4213554847
        5.3579710960        1.6746486987
        5.4688271338        1.2757292038
        5.5796831716        1.1903007521
        5.6905392093        1.3674306277
        5.8013952471        1.5828961046
        5.9122512849        1.4985033587
        6.0231073226        1.4506924725
        6.1339633604        1.4837158719
        6.2448193982        1.4693216997
        6.3556754359        1.5722594841
        6.4665314737        1.7196529396
        6.5773875115        1.6109029508
        6.6882435492        1.6551910811
        6.7990995870        1.3151942923
        6.9099556248        1.3295058846
        7.0208116625        1.4597135174
        7.1316677003        1.6890774118
        7.2425237381        1.8324098835
        7.3533797758        2.5071653788
        7.4642358136        3.6314054337
        7.5750918514        3.3242077486
        7.6859478891        3.5080576160
        7.7968039269        5.2557053365
        7.9076599647        5.4639961117
        8.0185160024        4.5017187900
        8.1293720402        3.9405992761
        8.2402280780        2.0156860695
        8.3510841157        2.3386006091
        8.4619401535        1.7567888469
        8.5727961913        1.8729782144
        8.6836522290        2.3331104020
        8.7945082668        2.7997734952
        8.9053643046        2.7642134027
        9.0162203424        2.8896582194
        9.1270763801        2.2335822314
        9.2379324179        2.6794579525
        9.3487884557        3.0176708528
        9.4596444934        2.9238481306
        9.5705005312        2.4006468642
        9.6813565690        1.9097647176
