# Raman activity for   2 active q-points
# iq: q-point index on path
# imode: mode index
# frequency: mode frequency in THz
# active_raman: Raman active yes/no (1/0)
# active_ir: IR active yes/no (1/0)
iq,imode,frequency,active_raman,active_ir
    1,    1, 0.00000000E+00,    1,    1
    1,    2, 0.00000000E+00,    1,    1
    1,    3, 0.00000000E+00,    1,    1
    1,    4, 0.24111682E+00,    1,    1
    1,    5, 0.43369124E+00,    1,    1
    1,    6, 0.54699013E+00,    1,    1
    1,    7, 0.67562799E+00,    1,    1
    1,    8, 0.95780290E+00,    1,    1
    1,    9, 0.34701416E+01,    1,    1
    1,   10, 0.38637860E+01,    1,    1
    1,   11, 0.39115167E+01,    1,    1
    1,   12, 0.40459256E+01,    1,    1
    1,   13, 0.50448969E+01,    1,    1
    1,   14, 0.54371919E+01,    1,    1
    1,   15, 0.81270264E+01,    1,    1
    1,   16, 0.82184689E+01,    1,    1
    1,   17, 0.11043339E+02,    1,    1
    1,   18, 0.11427017E+02,    1,    1
    1,   19, 0.12129674E+02,    1,    1
    1,   20, 0.12469734E+02,    1,    1
    1,   21, 0.13010638E+02,    1,    1
    1,   22, 0.13229981E+02,    1,    1
    1,   23, 0.13931973E+02,    1,    1
    1,   24, 0.14463598E+02,    1,    1
    1,   25, 0.15696267E+02,    1,    1
    1,   26, 0.15797069E+02,    1,    1
    1,   27, 0.17451382E+02,    1,    1
    1,   28, 0.17881205E+02,    1,    1
    1,   29, 0.22344314E+02,    1,    1
    1,   30, 0.24453393E+02,    1,    1
  320,    1, 0.00000000E+00,    1,    1
  320,    2, 0.00000000E+00,    1,    1
  320,    3, 0.00000000E+00,    1,    1
  320,    4, 0.24111682E+00,    1,    1
  320,    5, 0.43369124E+00,    1,    1
  320,    6, 0.54699013E+00,    1,    1
  320,    7, 0.67562799E+00,    1,    1
  320,    8, 0.95780290E+00,    1,    1
  320,    9, 0.34701416E+01,    1,    1
  320,   10, 0.38637860E+01,    1,    1
  320,   11, 0.39115167E+01,    1,    1
  320,   12, 0.40459256E+01,    1,    1
  320,   13, 0.50448969E+01,    1,    1
  320,   14, 0.54371919E+01,    1,    1
  320,   15, 0.81270264E+01,    1,    1
  320,   16, 0.82184689E+01,    1,    1
  320,   17, 0.11043339E+02,    1,    1
  320,   18, 0.11427017E+02,    1,    1
  320,   19, 0.12129674E+02,    1,    1
  320,   20, 0.12469734E+02,    1,    1
  320,   21, 0.13010638E+02,    1,    1
  320,   22, 0.13229981E+02,    1,    1
  320,   23, 0.13931973E+02,    1,    1
  320,   24, 0.14463598E+02,    1,    1
  320,   25, 0.15696267E+02,    1,    1
  320,   26, 0.15797069E+02,    1,    1
  320,   27, 0.17451382E+02,    1,    1
  320,   28, 0.17881205E+02,    1,    1
  320,   29, 0.22344314E+02,    1,    1
  320,   30, 0.24453393E+02,    1,    1
