-2.672731617158311757e+00 0.000000000000000000e+00
-2.528512542163142918e+00 0.000000000000000000e+00
-2.384293467167974079e+00 0.000000000000000000e+00
-2.240074392172805240e+00 0.000000000000000000e+00
-2.095855317177636401e+00 0.000000000000000000e+00
-1.951636242182467562e+00 0.000000000000000000e+00
-1.807417167187298723e+00 0.000000000000000000e+00
-1.663198092192129884e+00 0.000000000000000000e+00
-1.518979017196961045e+00 0.000000000000000000e+00
-1.374759942201792207e+00 0.000000000000000000e+00
-1.230540867206623368e+00 0.000000000000000000e+00
-1.086321792211454529e+00 0.000000000000000000e+00
-9.421027172162856900e-01 0.000000000000000000e+00
-7.978836422211168511e-01 0.000000000000000000e+00
-6.536645672259480122e-01 0.000000000000000000e+00
-5.094454922307791733e-01 0.000000000000000000e+00
-3.652264172356103344e-01 0.000000000000000000e+00
-2.210073422404414956e-01 9.816576560277598951e-01
-7.678826724527265668e-02 4.935703579504751581e-01
6.743080774989618220e-02 5.213009951732394676e-01
2.116498827450650211e-01 5.634258085179008058e-01
3.558689577402338600e-01 6.722744728618432752e-01
5.000880327354026988e-01 7.230007979132211382e-01
6.443071077305715377e-01 7.273919855918548061e-01
7.885261827257403766e-01 7.435014135173895200e-01
9.327452577209092155e-01 7.622945555529726525e-01
1.076964332716078054e+00 7.886656994245320185e-01
1.221183407711246893e+00 8.204913777892948179e-01
1.365402482706415732e+00 1.140054214596612603e+00
1.509621557701584571e+00 1.218394984697922068e+00
1.653840632696753410e+00 1.296134458359539998e+00
1.798059707691922249e+00 1.427516537572521838e+00
1.942278782687091088e+00 1.717579985014670685e+00
2.086497857682259927e+00 1.970508554827713699e+00
2.230716932677428765e+00 2.329020692980050100e+00
2.374936007672597604e+00 2.369121838507596056e+00
2.519155082667766443e+00 1.881530110040032788e+00
2.663374157662935282e+00 1.122005184439604397e+00
2.807593232658104121e+00 1.320399368730559075e+00
2.951812307653272960e+00 1.367946435662877214e+00
3.096031382648441799e+00 2.238419433915352030e+00
3.240250457643610638e+00 2.062055117162803874e+00
3.384469532638779476e+00 2.152507842656356196e+00
3.528688607633948315e+00 2.603806763949372716e+00
3.672907682629117154e+00 3.611341298408863754e+00
3.817126757624285993e+00 1.426616403446349102e+00
3.961345832619454832e+00 1.618301965046428759e+00
4.105564907614623671e+00 2.131644400677623619e+00
4.249783982609792510e+00 2.746149776787669250e+00
4.394003057604961349e+00 2.721908068256084334e+00
4.538222132600130188e+00 1.396757805190495416e+00
4.682441207595299026e+00 1.399145969626562902e+00
4.826660282590467865e+00 1.435416093450840647e+00
4.970879357585636704e+00 1.561089161425952110e+00
5.115098432580805543e+00 1.934894262923594788e+00
5.259317507575974382e+00 2.309307746356210611e+00
5.403536582571143221e+00 5.973489488554621918e-01
5.547755657566312060e+00 6.681682085029178042e-01
5.691974732561480899e+00 7.444900082480061521e-01
5.836193807556649737e+00 8.698382405604279111e-01
5.980412882551818576e+00 1.058889193617143842e+00
6.124631957546987415e+00 1.345016660672658571e+00
6.268851032542156254e+00 2.792953278271935957e+00
6.413070107537325093e+00 1.612792976623920405e+00
6.557289182532493932e+00 9.466535352211215004e-01
6.701508257527662771e+00 0.000000000000000000e+00
6.845727332522831610e+00 4.225193141299090627e-01
6.989946407518000449e+00 9.547613167302382298e-01
7.134165482513169287e+00 2.167019371749546064e+00
7.278384557508338126e+00 2.145766886320245703e+00
7.422603632503506965e+00 2.293458108344476276e+00
7.566822707498675804e+00 1.214106887979034965e+01
7.711041782493844643e+00 0.000000000000000000e+00
7.855260857489013482e+00 0.000000000000000000e+00
7.999479932484182321e+00 0.000000000000000000e+00
8.143699007479352048e+00 0.000000000000000000e+00
8.287918082474519110e+00 4.772416297563376181e-02
8.432137157469689726e+00 2.141013733835083865e+00
8.576356232464856788e+00 3.621155306649253003e+00
8.720575307460027403e+00 2.589651512531929267e+00
8.864794382455194466e+00 2.429945713860336642e+00
9.009013457450365081e+00 1.599101579083232583e+00
9.153232532445532144e+00 1.320741773528335328e+00
9.297451607440702759e+00 2.876621745981660982e+00
9.441670682435869821e+00 1.758560789387416445e+00
9.585889757431040437e+00 1.452588716175865713e+00
9.730108832426207499e+00 1.001380505550469202e+00
9.874327907421378114e+00 1.085332859671985339e+00
1.001854698241654518e+01 1.233360310361774070e+00
1.016276605741171579e+01 1.557169911450116739e+00
1.030698513240688285e+01 2.103038153659423593e+00
1.045120420740205347e+01 9.388949284150738706e+00
1.059542328239722053e+01 1.227581196073672443e+00
1.073964235739239115e+01 9.854748388023912842e-01
1.088386143238755821e+01 1.032537426154763294e+00
1.102808050738272883e+01 1.647686179853491417e+00
1.117229958237789589e+01 7.927405556222756111e+00
