-2.680904135889734086e+00 0.000000000000000000e+00
-2.540227315248297923e+00 0.000000000000000000e+00
-2.399550494606861761e+00 0.000000000000000000e+00
-2.258873673965425599e+00 0.000000000000000000e+00
-2.118196853323989437e+00 0.000000000000000000e+00
-1.977520032682553275e+00 0.000000000000000000e+00
-1.836843212041117113e+00 0.000000000000000000e+00
-1.696166391399680951e+00 0.000000000000000000e+00
-1.555489570758244788e+00 0.000000000000000000e+00
-1.414812750116808626e+00 0.000000000000000000e+00
-1.274135929475372464e+00 0.000000000000000000e+00
-1.133459108833936302e+00 0.000000000000000000e+00
-9.927822881925001397e-01 0.000000000000000000e+00
-8.521054675510639775e-01 0.000000000000000000e+00
-7.114286469096278154e-01 0.000000000000000000e+00
-5.707518262681916532e-01 0.000000000000000000e+00
-4.300750056267554911e-01 0.000000000000000000e+00
-2.893981849853193289e-01 6.645217665577599631e-01
-1.487213643438831667e-01 1.673133175459758093e-01
-8.044543702447004563e-03 3.319991145648520936e-01
1.326322769389891576e-01 5.397260147562178423e-01
2.733090975804253198e-01 6.806942716976630559e-01
4.139859182218614819e-01 7.643504394599687224e-01
5.546627388632976441e-01 9.385702912382561935e-01
6.953395595047338062e-01 8.946633570631019605e-01
8.360163801461699684e-01 8.536620418730502813e-01
9.766932007876061306e-01 8.510926307711075278e-01
1.117370021429042293e+00 8.639686947080373880e-01
1.258046842070478455e+00 1.001541826197582141e+00
1.398723662711915061e+00 1.203850471010502687e+00
1.539400483353350779e+00 1.285288062231361161e+00
1.680077303994786497e+00 1.413670707711789154e+00
1.820754124636223104e+00 1.699788006650650329e+00
1.961430945277659710e+00 1.606812549116616085e+00
2.102107765919095428e+00 1.727834563691479808e+00
2.242784586560531146e+00 1.887313425583665882e+00
2.383461407201967752e+00 2.512168542072239941e+00
2.524138227843404358e+00 1.734655719819858888e+00
2.664815048484840077e+00 1.232397076942527647e+00
2.805491869126275795e+00 1.322587494528690621e+00
2.946168689767712401e+00 1.368875360878129221e+00
3.086845510409149007e+00 2.450811086038811926e+00
3.227522331050584725e+00 2.555210968828380835e+00
3.368199151692020443e+00 4.262700455340372230e+00
3.508875972333457050e+00 2.708226639915260581e+00
