# Raman activity for   2 active q-points
# iq: q-point index on path
# imode: mode index
# frequency: mode frequency in THz
# active_raman: Raman active yes/no (1/0)
# active_ir: IR active yes/no (1/0)
iq,imode,frequency,active_raman,active_ir
    1,    1,-0.78365678E+00,    1,    1
    1,    2,-0.66018843E+00,    1,    1
    1,    3, 0.00000000E+00,    1,    1
    1,    4, 0.00000000E+00,    1,    1
    1,    5, 0.00000000E+00,    1,    1
    1,    6, 0.66312438E+00,    1,    1
    1,    7, 0.94069081E+00,    1,    1
    1,    8, 0.16202810E+01,    1,    1
    1,    9, 0.37369719E+01,    1,    1
    1,   10, 0.41709411E+01,    1,    1
    1,   11, 0.42057422E+01,    1,    1
    1,   12, 0.47720198E+01,    1,    1
    1,   13, 0.54889042E+01,    1,    1
    1,   14, 0.64954175E+01,    1,    1
    1,   15, 0.86363892E+01,    1,    1
    1,   16, 0.87540085E+01,    1,    1
    1,   17, 0.10062247E+02,    1,    1
    1,   18, 0.11511899E+02,    1,    1
    1,   19, 0.12321563E+02,    1,    1
    1,   20, 0.12949377E+02,    1,    1
    1,   21, 0.13271392E+02,    1,    1
    1,   22, 0.13425794E+02,    1,    1
    1,   23, 0.14257019E+02,    1,    1
    1,   24, 0.15137984E+02,    1,    1
    1,   25, 0.16618058E+02,    1,    1
    1,   26, 0.17836451E+02,    1,    1
    1,   27, 0.18164701E+02,    1,    1
    1,   28, 0.18476563E+02,    1,    1
    1,   29, 0.25968669E+02,    1,    1
    1,   30, 0.27305988E+02,    1,    1
  320,    1,-0.78365678E+00,    1,    1
  320,    2,-0.66018843E+00,    1,    1
  320,    3, 0.00000000E+00,    1,    1
  320,    4, 0.00000000E+00,    1,    1
  320,    5, 0.00000000E+00,    1,    1
  320,    6, 0.66312438E+00,    1,    1
  320,    7, 0.94069081E+00,    1,    1
  320,    8, 0.16202810E+01,    1,    1
  320,    9, 0.37369719E+01,    1,    1
  320,   10, 0.41709411E+01,    1,    1
  320,   11, 0.42057422E+01,    1,    1
  320,   12, 0.47720198E+01,    1,    1
  320,   13, 0.54889042E+01,    1,    1
  320,   14, 0.64954175E+01,    1,    1
  320,   15, 0.86363892E+01,    1,    1
  320,   16, 0.87540085E+01,    1,    1
  320,   17, 0.10062247E+02,    1,    1
  320,   18, 0.11511899E+02,    1,    1
  320,   19, 0.12321563E+02,    1,    1
  320,   20, 0.12949377E+02,    1,    1
  320,   21, 0.13271392E+02,    1,    1
  320,   22, 0.13425794E+02,    1,    1
  320,   23, 0.14257019E+02,    1,    1
  320,   24, 0.15137984E+02,    1,    1
  320,   25, 0.16618058E+02,    1,    1
  320,   26, 0.17836451E+02,    1,    1
  320,   27, 0.18164701E+02,    1,    1
  320,   28, 0.18476563E+02,    1,    1
  320,   29, 0.25968669E+02,    1,    1
  320,   30, 0.27305988E+02,    1,    1
