temperature_K,Gamma_THz,X_THz,S_THz,Y_THz,global_min_THz
0,-0.022012313297624497,2.2467829191558195,2.3258957642376132,0.591028708610654,-0.03561146697344126
10,-0.10710947894,2.00476121388,2.04658871984,0.153661877484,-0.194839267301
20,-0.0983011924632,2.12646560195,2.12223645469,0.0919470547351,-0.222680935947
30,-0.134726871518,1.54060865104,1.55978034636,-0.126982880176,-0.227049175782
40,-0.0859971756624,1.05546711412,1.04210744624,-0.158543315052,-0.227581243838
50,-0.139891438818,0.520951614538,0.471771449114,-0.260439124653,-0.273464104107
60,-0.350527467833,0.348129733079,0.40930757173,-0.342236784539,-0.350527467833
70,-0.266720493817,0.279657278651,0.255405635888,-0.252509219116,-0.310232887544
80,-0.291393167747,0.199151751788,0.306835263684,-0.347715188392,-0.372431482344
90,-0.24340078542,0.348494704525,0.340043740983,-0.41145173439,-0.41145173439
100,-0.286011651634,0.345049063097,0.256908767559,-0.393477297303,-0.444664760712
