segment,q_index,combined_path_distance,mode,original_cm-1,symmetry_fixed_cm-1,delta_cm-1
1,3,0.06514800,9,374.211800,374.016200,-0.195600
1,3,0.06514800,10,392.905600,392.931600,0.026000
1,3,0.06514800,11,399.879800,399.745100,-0.134700
1,3,0.06514800,12,403.090500,403.036000,-0.054500
1,3,0.06514800,13,421.043500,421.168300,0.124800
1,3,0.06514800,14,424.158900,424.105900,-0.053000
1,3,0.06514800,15,426.744200,426.714100,-0.030100
1,3,0.06514800,16,458.089800,458.159600,0.069800
1,3,0.06514800,17,508.440500,508.159400,-0.281100
1,3,0.06514800,18,538.637200,538.726900,0.089700
1,3,0.06514800,19,551.071700,550.886600,-0.185100
1,3,0.06514800,20,551.660400,551.561400,-0.099000
1,3,0.06514800,21,553.949600,553.973800,0.024200
1,3,0.06514800,22,566.470900,566.494800,0.023900
1,3,0.06514800,23,591.184700,590.893500,-0.291200
1,3,0.06514800,24,604.532300,604.366700,-0.165600
1,3,0.06514800,25,612.353600,612.297000,-0.056600
1,3,0.06514800,26,661.434900,661.219600,-0.215300
1,3,0.06514800,27,715.322900,715.061000,-0.261900
1,3,0.06514800,28,715.650900,715.334000,-0.316900
1,3,0.06514800,29,719.428400,719.144200,-0.284200
1,3,0.06514800,30,858.773500,858.736000,-0.037500
1,4,0.08686500,1,30.725100,30.518000,-0.207100
1,4,0.08686500,2,32.686500,32.491500,-0.195000
1,4,0.08686500,3,59.154300,59.086600,-0.067700
1,4,0.08686500,4,281.562900,281.592600,0.029700
1,4,0.08686500,5,349.465300,349.242200,-0.223100
1,4,0.08686500,6,352.698000,352.742400,0.044400
1,4,0.08686500,7,355.564400,355.365800,-0.198600
1,4,0.08686500,8,361.872900,361.853800,-0.019100
1,4,0.08686500,9,373.780700,373.590600,-0.190100
1,4,0.08686500,10,393.937100,393.963100,0.026000
1,4,0.08686500,11,399.230600,399.077100,-0.153500
1,4,0.08686500,12,404.647600,404.583100,-0.064500
1,4,0.08686500,13,423.565000,423.508000,-0.057000
1,4,0.08686500,14,424.330800,424.467200,0.136400
1,4,0.08686500,15,427.939200,427.912400,-0.026800
1,4,0.08686500,16,458.728100,458.767500,0.039400
1,4,0.08686500,17,507.106200,506.842600,-0.263600
1,4,0.08686500,18,538.319200,538.342600,0.023400
1,4,0.08686500,19,550.227800,550.004800,-0.223000
1,4,0.08686500,20,550.992600,550.913000,-0.079600
1,4,0.08686500,21,554.334000,554.375300,0.041300
1,4,0.08686500,22,565.510900,565.530000,0.019100
1,4,0.08686500,23,588.132900,587.825700,-0.307200
1,4,0.08686500,24,605.030900,604.870700,-0.160200
1,4,0.08686500,25,615.245700,615.215700,-0.030000
1,4,0.08686500,26,661.355300,661.183100,-0.172200
1,4,0.08686500,27,715.498000,715.103900,-0.394100
1,4,0.08686500,28,715.861200,715.603600,-0.257600
1,4,0.08686500,29,719.573900,719.271300,-0.302600
1,4,0.08686500,30,858.210800,858.173000,-0.037800
1,5,0.10858100,1,38.465000,38.208700,-0.256300
1,5,0.10858100,2,41.451100,41.214100,-0.237000
1,5,0.10858100,3,74.160200,74.075000,-0.085200
1,5,0.10858100,4,280.646200,280.673600,0.027400
1,5,0.10858100,5,346.940900,346.735000,-0.205900
1,5,0.10858100,6,349.945600,350.041600,0.096000
1,5,0.10858100,7,354.922000,354.651300,-0.270700
1,5,0.10858100,8,361.613100,361.584000,-0.029100
1,5,0.10858100,9,373.344300,373.166300,-0.178000
1,5,0.10858100,10,394.641800,394.669400,0.027600
1,5,0.10858100,11,398.667400,398.496600,-0.170800
1,5,0.10858100,12,406.705400,406.631100,-0.074300
1,5,0.10858100,13,423.029100,422.963900,-0.065200
