# dx dy dz; max atomic norm = 1
-4.631113053021047588e-01 -7.272080147994144372e-01 -4.880727413710007068e-01
-4.615928660643555670e-01 -7.202502485389964404e-01 -5.005157808154545585e-01
4.618462751173683656e-01 7.181788720658576208e-01 5.204969989139462960e-01
4.626129103638649820e-01 7.334873427489384534e-01 4.802741387985233201e-01
-2.211189236375950551e-01 -3.503027821192022384e-01 -2.328883167284932221e-01
-2.212748404604747421e-01 -3.443294977652257560e-01 -2.233009075113408237e-01
-2.212581525564077944e-01 -3.416679968716452298e-01 -2.396128723911546132e-01
2.211214866428447279e-01 3.357575007506235498e-01 2.499619644702850696e-01
2.212896299845844295e-01 3.401031894904685826e-01 2.021046075221012983e-01
2.214857859122753847e-01 3.562316350385958397e-01 2.315529091125876904e-01
