temperature_K,Pxx_GPa,Pyy_GPa,Pzz_GPa
1.002478492307692370e+01,-6.092145865384616249e-02,-2.787224100000000315e-01,2.434155917307692554e-04
1.999512115384615285e+01,-1.022864630384615614e-01,-3.210908060384616292e-01,3.690476845384615652e-04
3.008388896153845948e+01,-1.457957738461538588e-01,-4.084928403846154188e-01,2.530573126153846421e-04
4.003145523076922530e+01,-1.775567715384615830e-01,-4.763530434615384501e-01,6.805964680769231419e-04
4.991615823076922709e+01,-2.061826799999999793e-01,-4.938924857692308379e-01,7.967505088461538385e-04
