frames,time_fs,mean_temperature_K,harmonic_force_rms_eV_per_A,residual_force_rms_eV_per_A,residual_force_std_eV_per_A,residual_R2,sigma_A
20,19.352,436.3005434015,0.48657,0.962758,0.555849,0.203454,0.892494
40,38.704,540.0674293072,0.631822,0.876312,0.505939,0.342037,0.811149
60,58.056,549.790968033,0.679453,0.861709,0.497508,0.383372,0.785256
80,77.408,563.9806724058,0.618984,0.878688,0.507311,0.331657,0.817523
100,96.76,545.6520104305,0.668723,0.888728,0.513107,0.361504,0.79906
120,116.112,530.0506573389,0.704195,0.903349,0.521549,0.377986,0.788679
136,131.5936,532.7317506541,0.680847,0.908925,0.524768,0.359427,0.800358
