0.000000000000000000e+00 -2.942691833043125649e-01 -2.290823766720411284e-02 -2.223069511672941035e-07 -1.717227006351964977e-07 1.651042738282516642e-07 2.976656939880826802e-01 3.042645140831433448e+00 3.043521284547102468e+00 4.262647197111657960e+00 4.285585702821775200e+00 7.111465032029540723e+00 7.225576603762536188e+00 8.486425972331783640e+00 8.488081680087494973e+00 8.749402836820209473e+00 8.809305679008620160e+00 1.039225306334274457e+01 1.039771648480967414e+01 1.105546030063237950e+01 1.105862277695594464e+01 1.176778724871251924e+01 1.177918991317435982e+01 1.280042806650973830e+01 1.281469353796923727e+01 1.529951739032144431e+01 1.532045454910926985e+01 1.784411994815425473e+01 1.788498475591646297e+01 2.292498930570913274e+01 2.292724605871731924e+01
1.519769838211115992e-03 -2.885705806249899696e-01 -7.234809340017225865e-02 2.663017412794290665e-03 6.431859663796286875e-02 1.169958210162458934e-01 3.119760383519091240e-01 3.042882437352218972e+00 3.043765202240619860e+00 4.263022791613670037e+00 4.285977332834951525e+00 7.111536230252951007e+00 7.225629762082484753e+00 8.486689705076578605e+00 8.488331402306771523e+00 8.749232881495728975e+00 8.809080668640401512e+00 1.039216920307085879e+01 1.039763225805466185e+01 1.105546116900532283e+01 1.105863301312692926e+01 1.176785898159983823e+01 1.177925925634273696e+01 1.280046627607746679e+01 1.281473477329216237e+01 1.529936977266588016e+01 1.532030231792118080e+01 1.784392888899061091e+01 1.788479693156876849e+01 2.292507064651821480e+01 2.292732704845602854e+01
3.039539676422231985e-03 -2.709209906359550946e-01 -7.626477680578290508e-02 1.013758992682747828e-02 1.270293788684619674e-01 2.039305275233485870e-01 3.514294571278887558e-01 3.043594276427995737e+00 3.044496887699525089e+00 4.264149571067277655e+00 4.287152202517106048e+00 7.111749144652755206e+00 7.225788617442969297e+00 8.487478273548283880e+00 8.489081937662753319e+00 8.748724854741423584e+00 8.808406794341689050e+00 1.039191813756791838e+01 1.039738018118482366e+01 1.105546358002370333e+01 1.105866325757383173e+01 1.176807458138451956e+01 1.177946769726654175e+01 1.280058060907272655e+01 1.281485817259384774e+01 1.529892697395590950e+01 1.531984568310363670e+01 1.784335553630322480e+01 1.788423327577453392e+01 2.292531459291783236e+01 2.292756994074187205e+01
4.559309514633348194e-03 -2.399620128523231311e-01 -6.061219379502328503e-02 2.291230523808890016e-02 1.889244111522525027e-01 2.926802371017469540e-01 4.087992238394769773e-01 3.044780504571106050e+00 3.045716147754695680e+00 4.266027522279264517e+00 4.289110249751170834e+00 7.112101741443211722e+00 7.226051317496898996e+00 8.488783027628366895e+00 8.490338024844042764e+00 8.747884350517969310e+00 8.807287568364698060e+00 1.039150140859683091e+01 1.039696205861114287e+01 1.105546694336506874e+01 1.105871213604772407e+01 1.176843524679563302e+01 1.177981646563237916e+01 1.280077017857222366e+01 1.281506281614233167e+01 1.529818915805854296e+01 1.531908482200348409e+01 1.784239936599356113e+01 1.788329324174420520e+01 2.292572091690935920e+01 2.292797450488025035e+01
6.079079352844464837e-03 -1.960989102171289966e-01 -1.458935918267604236e-02 6.809610960722684014e-02 2.506233246937147885e-01 3.826425676547101640e-01 4.776165295936498079e-01 3.046440861406360057e+00 3.047422690695453795e+00 4.268656619820644593e+00 4.291851367531838157e+00 7.112590654272570312e+00 7.226414796375648208e+00 8.490587206202498294e+00 8.492109469290697987e+00 8.746720952196742616e+00 8.805728987445739619e+00 1.039092157194398425e+01 1.039638087844326542e+01 1.105547025114331738e+01 1.105877741513159940e+01 1.176894296028217823e+01 1.178030759570844666e+01 1.280103350704141363e+01 1.281534717194992368e+01 1.529715660173536484e+01 1.531802003388133571e+01 1.784105950952773156e+01 1.788197592303595584e+01 2.292628923877470726e+01 2.292854035669984469e+01
7.598849191055581480e-03 -1.526007154948754441e-01 2.824910554785035541e-02 1.524182389359447221e-01 3.122926310554540730e-01 4.731627742410861037e-01 5.535194058860319899e-01 3.048574979280078701e+00 3.049616165590784078e+00 4.272036820911219834e+00 4.295375398773479958e+00 7.113211218717612638e+00 7.226874806313765554e+00 8.492864000929527535e+00 8.494412391548845420e+00 8.745248643300527647e+00 8.803739760062905262e+00 1.039018217703183922e+01 1.039564078365580180e+01 1.105547205037417768e+01 1.105885607886033206e+01 1.176960046497351797e+01 1.178094390360832122e+01 1.280136852735178721e+01 1.281570909712709039e+01 1.529582970009518661e+01 1.531665174541311458e+01 1.783933476135949192e+01 1.788028006084516264e+01 2.292701902749157128e+01 2.292926695902759704e+01
9.118619029266696388e-03 -1.249846628508032159e-01 4.107544206410979754e-02 2.396118146955508732e-01 3.739495245648188360e-01 5.638877305825856778e-01 6.338212158287926945e-01 3.051182392171799762e+00 3.052296208748291662e+00 4.276168058345323431e+00 4.299682129085121041e+00 7.113957519702281296e+00 7.227425961055173431e+00 8.495579058184768328e+00 8.497265693347110016e+00 8.743486425225007963e+00 8.801331651708901305e+00 1.038928773903196578e+01 1.039474703179770820e+01 1.105547041824820909e+01 1.105894442139040734e+01 1.177041123264637967e+01 1.178172895562079248e+01 1.280177258422711262e+01 1.281614583978951316e+01 1.529420897418355807e+01 1.531498051834785734e+01 1.783722358927848362e+01 1.787820405416711012e+01 2.292790960130621514e+01 2.293015362234472576e+01
1.063838886747781390e-02 -1.058912040354105799e-01 5.275540845933415768e-02 3.202502085128004494e-01 4.355751559175354837e-01 6.546097222924304182e-01 7.168774648900940738e-01 3.054262557973402625e+00 3.055462494195813949e+00 4.281050231540087125e+00 4.304771277551444619e+00 7.114822450991093561e+00 7.228061790199169501e+00 8.498699650434753394e+00 8.500680433952176429e+00 8.741459188003686265e+00 8.798519979110642097e+00 1.038824370407523823e+01 1.039370594336640075e+01 1.105546294835837351e+01 1.105903814679670027e+01 1.177137942292833550e+01 1.178266702777635011e+01 1.280224243614263990e+01 1.281665404153200782e+01 1.529229508066423548e+01 1.531300705927671402e+01 1.783472414763919289e+01 1.787574597279012423e+01 2.292896012845582732e+01 2.293119950561539966e+01
1.215815870568892967e-02 -8.757557340638377763e-02 6.447429937272522449e-02 3.952012471748898581e-01 4.971439926645330742e-01 7.451867930316038446e-01 8.016530036580384877e-01 3.057814895857819071e+00 3.059114787805110147e+00 4.286683195802634572e+00 4.310642485562538262e+00 7.115797785699742306e+00 7.228774803441917030e+00 8.502200752101034098e+00 8.504651773475881527e+00 8.739198897579154135e+00 8.795324299192960993e+00 1.038705640823975251e+01 1.039252483906938984e+01 1.105544675337861626e+01 1.105913246950344764e+01 1.177250983404275964e+01 1.178376305688336245e+01 1.280277425770972499e+01 1.281722974048913777e+01 1.529008882353472387e+01 1.531073223145509665e+01 1.783183429341401904e+01 1.787290357306428135e+01 2.293016962803019609e+01 2.293240361727708176e+01
1.367792854390004545e-02 -6.487219728873078184e-02 7.656017545775964384e-02 4.663093660824329523e-01 5.586305241964056867e-01 8.355092962788509547e-01 8.874692718048681206e-01 3.061838838811854480e+00 3.063253006811058388e+00 4.293066749920652292e+00 4.317295303733039269e+00 7.116874256582308433e+00 7.229556563493857446e+00 8.506059455700416549e+00 8.509161899873658896e+00 8.736746181972051772e+00 8.791769359004497630e+00 1.038573303101601475e+01 1.039121196635041855e+01 1.105541848654509529e+01 1.105922221178207820e+01 1.177380784548190462e+01 1.178502258333866948e+01 1.280336364258922366e+01 1.281786837501089238e+01 1.528759116780432414e+01 1.530815706860618874e+01 1.782855160500201563e+01 1.786967431637982884e+01 2.293153697096084898e+01 2.293376481638034647e+01
