branch,points,percent_points,mae_cm1,rmse_cm1,max_abs_cm1,mape_percent,max_ape_percent,smape_percent
1,115,112,10.061102006679329,10.816350427551193,15.31041884828582,6.061470414901265,22.77654494056411,6.307310340366215
2,115,112,6.522169584750244,7.8448321461500035,16.312555556931386,3.5143568198429085,17.31557734460215,3.607746125401416
3,115,112,7.153906392129866,8.154712357659958,17.434240764662547,3.30801706445587,10.267733859719586,3.377326727867643
4,115,115,10.361452398061951,11.9439785180494,20.647982676289416,3.7525040032021435,6.7956072899271875,3.8454721603210054
5,115,115,12.85184538783374,13.50686243025451,21.273030121247245,4.027521454763702,6.581403569003209,4.1183514603704765
6,115,115,12.74046928361119,13.149385769771861,19.787130367029704,3.918269603998726,6.333875577253488,4.001071113941601
7,115,115,16.233537186682668,16.606173436732345,23.09455502096006,4.405345190920546,6.242436350133665,4.5084169600776285
8,115,115,15.862382417284676,16.16591672875602,23.415038438157012,4.221511033255932,6.102918290952942,4.315443063207315
9,115,115,16.462539657307445,16.716912294087283,20.664887330300132,4.212802445250626,5.212869024943998,4.306020296521242
10,115,115,18.199349623374435,18.427774769610878,25.601836597327974,4.515829573942253,5.997810581696641,4.622892162593685
11,115,115,18.032636688851976,18.41614628171396,25.601836597328145,4.348633024158926,5.99781058169668,4.449649457521512
12,115,115,16.355266560105864,16.6350699702246,25.465136601178926,3.8111194706412435,5.965785508742143,3.8877575797100423
13,115,115,16.00283757205546,16.18520502873684,21.67489277422999,3.5627117837798368,4.883326340908122,3.6285790781809824
14,115,115,16.237158497421657,16.437663007811125,20.401472994879896,3.5437399310762414,4.605579626438226,3.6091601318966684
15,115,115,17.76402948951546,17.985282784056942,22.82717217968883,3.7323149094700483,4.8140627584933275,3.8048965706813
16,115,115,18.72692078996961,19.247060416417014,28.63630008981346,3.8227149032961787,5.814708046159732,3.9003795964825754
17,115,115,17.46467208431832,18.190401227624722,26.004858166124734,3.414229443765632,4.980238897541639,3.478510817193724
18,115,115,21.606780573920098,22.075342731826183,28.984967421197553,4.074843434095089,5.380526052857577,4.1633879986195
19,115,115,21.98638343947393,22.316320214931817,28.934643854965657,4.025932636463384,5.380502367812648,4.111234687076235
20,115,115,20.20586964182213,20.605982202673736,27.196333868174747,3.6614607351338684,4.987429739388642,3.7326760700637083
21,115,115,20.942540922629874,21.182920877453267,29.425448777826773,3.643130815415697,5.264631011181702,3.7120729459770345
22,115,115,21.63604345691281,22.03866454034518,28.71305531361793,3.6841860388751932,4.934020300237524,3.75546110380907
23,115,115,22.9503192162772,23.091186005306003,27.84780600476313,3.688111628103264,4.584575208389444,3.7583363367482687
24,115,115,21.24598522383525,21.54678666230689,28.140018421150558,3.3458815449740036,4.473691016009114,3.4044209554402944
25,115,115,21.627890111018992,21.76460149820022,28.440070113358274,3.2801026099682367,4.484437818412598,3.3356661820191014
26,115,115,21.458122855092245,21.59665589092362,25.829725770778964,3.181907985781784,3.8770217747754976,3.2340658855704447
27,115,115,19.429661710279817,19.54976628334045,24.80150234355733,2.676567092529656,3.356995381748735,2.7133956262963084
28,115,115,19.297003704705954,19.463301710964444,24.456182430001263,2.639191585655946,3.3051258678778304,2.6752270090696677
29,115,115,18.179342381067947,18.25692269912182,21.631720770226366,2.331858369080077,2.8989398444725953,2.359610273416799
30,115,115,19.737717010974286,20.062368537496045,50.69271267859051,2.3983377088374467,5.7495622785407905,2.4282237851764945
