source_segment,mapped_segment,xi,frequency_thz,omega_radps,x_plot
gamma_z,gamma_z,0.45,12.49,78.47698448667303,2.5722638
gamma_z,gamma_z,0.45,16.43,103.2327345969606,2.5722638
gamma_z,gamma_z,0.45,6.28,39.458403729087806,2.5722638
gamma_z,gamma_z,0.45,7.44,46.74689868541613,2.5722638
gamma_z,gamma_z,0.45,12.05,75.71238295151402,2.5722638
gamma_z,gamma_z,0.45,12.6,79.16813487046278,2.5722638
gamma_z,gamma_z,0.45,14.75,92.6769832808989,2.5722638
gamma_z,gamma_z,0.45,20.58,129.30795362175587,2.5722638
gamma_z,gamma_z,0.45,21.09,132.51237812841748,2.5722638
gamma_z,gamma_z,0.5,9.93,62.39203010029329,2.631532
gamma_z,gamma_z,0.5,12.0,75.39822368615503,2.631532
gamma_z,gamma_z,0.5,15.98,100.4053012087298,2.631532
gamma_z,gamma_z,0.5,20.4,128.17698026646354,2.631532
gamma_z,gamma_z,0.5,25.05,157.39379194484863,2.631532
gamma_z,gamma_z,0.5,6.89,43.29114676646735,2.631532
gamma_z,gamma_z,0.5,12.21,76.71769260066276,2.631532
gamma_z,gamma_z,0.5,14.84,93.24246995854506,2.631532
gamma_z,gamma_z,0.5,16.37,102.85574347852983,2.631532
gamma_z,gamma_z,0.5,20.82,130.815918095479,2.631532
