temperature_K,Cv_weighted_gamma,valid_mode_fraction_percent
50,0.921264591286816,100.0
100,1.043544375299868,100.0
200,1.2347435627204155,100.0
300,1.2978390340455979,100.0
600,1.3411842405372216,100.0
1000,1.350924977968678,100.0
