temperature_K,Veq_A3_per_10atom_cell,phonon_volume_extrapolated,alpha_volume_1e-6_K-1,alpha_linear_1e-6_K-1,BT_GPa,Cv_J_per_molK_Fe2O3,Cp_J_per_molK_Fe2O3,Cp_minus_Cv_J_per_molK
0.0,107.10094383247413,True,-0.0248428596583139,-0.008280953219437967,182.72342424930636,0.0,0.0,0.0
10.0,107.10094791856156,True,0.03247320754518057,0.010824402515060191,182.72332459301944,0.047947882576750755,0.04794794471493899,6.213818823169883e-08
20.0,107.10101339072028,True,0.19550186247663248,0.06516728749221083,182.72175884830446,0.521756617187263,0.5217611215830935,4.504395830605577e-06
30.0,107.10136668807607,True,0.6447379916618701,0.21491266388729002,182.71297876021606,2.316686969469899,2.3167604501379975,7.348066809886747e-05
40.0,107.10239444147,True,1.4211851175893742,0.4737283725297914,182.68758617335345,5.611082427532722,5.611558409410338,0.0004759818776161573
50.0,107.10441094870868,True,2.4354964624162534,0.8118321541387512,182.63921649955134,9.943944590914626,9.945691487957575,0.001746897042948448
60.0,107.10761151858628,True,3.602694657356409,1.200898219118803,182.56534960093308,14.949622714177735,14.954207993068827,0.0045852788910916405
70.0,107.11212851652775,True,4.878322903856258,1.6261076346187526,182.46535574780944,20.387008751602252,20.396812205293177,0.009803453690924493
80.0,107.1180621386819,True,6.2346448362671225,2.0782149454223746,182.33938644817846,26.066594948661802,26.08488342509444,0.018288476432636397
90.0,107.12548547084826,True,7.645090138419519,2.5483633794731726,182.18807563337626,31.828794145440128,31.85970716213174,0.030913016691613875
100.0,107.13444193571034,True,9.082084624623121,3.0273615415410404,182.01250969832242,37.543369436535315,37.59180031481445,0.048430878279136745
110.0,107.14494569267865,True,10.518705025885922,3.5062350086286407,181.81412299242692,43.11024245939514,43.181632470451866,0.07139001105672833
120.0,107.15698261847177,True,11.931919386354295,3.9773064621180985,181.59467911084886,48.457591347334784,48.55769418044022,0.10010283310543926
130.0,107.17051764087469,True,13.303630119843035,4.434543373281012,181.356019086433,53.537972621036744,53.672624334716495,0.13465171367975237
140.0,107.185497949108,True,14.620169634804725,4.873389878268242,181.10006966750657,58.32369519095638,58.49860268317723,0.17490749222085536
150.0,107.20185924580238,True,15.873092110663123,5.291030703554375,180.82870074330538,62.80230244034212,63.0229021406676,0.2205997003254796
160.0,107.21953065650264,True,17.057694913935606,5.685898304645201,180.5436598056329,66.97258233417159,67.24393726530496,0.27135493113337084
170.0,107.23843781709311,True,18.172101193281165,6.057367064427055,180.24656139220394,70.84126112256403,71.16799757426864,0.32673645170460275
180.0,107.25850582189979,True,19.21711539747406,6.405705132491353,179.93886268020702,74.420386452332,74.80668806553429,0.38630161320229295
190.0,107.27966200737745,True,20.194704607368053,6.7315682024560175,179.62182405489077,77.72532471699213,78.17492442097344,0.4495997039813055
200.0,107.30183564847529,True,21.107662812713812,7.035887604237938,179.2965915741051,80.77327719046762,81.28946813733515,0.5161909468675199
210.0,107.32496002670416,True,21.95982752839498,7.319942509464994,178.96415010128237,83.58221283400627,84.16789881502679,0.5856859810205223
220.0,107.34897259499618,True,22.75511616729453,7.585038722431511,178.62535364808448,86.17012035540458,86.82784285013958,0.6577224947350027
230.0,107.37381498152375,True,23.497652964632465,7.832550988210822,178.28095090249636,88.55450986131032,89.2864929361756,0.7319830748652775
240.0,107.39943342926216,True,24.19143286149783,8.063810953832611,177.93157326599635,90.75209165603911,91.56027583124393,0.8081841752048138
250.0,107.42577807985231,True,24.84034161187587,8.280113870625291,177.57778034461688,92.77858826334436,93.66466875428993,0.8860804909455765
260.0,107.4528034577679,True,25.448003352401827,8.482667784133941,177.220041885043,94.64863896233712,95.6140944756305,0.9654555132933836
270.0,107.48046742723291,True,26.018162554786173,8.672720851595392,176.85878192358786,96.37576909309186,97.42191941348024,1.0461503203883724
280.0,107.50873249836116,True,26.553793990746755,8.851264663582251,176.49432401685186,97.9724027744919,99.10039624613592,1.127993471644012
290.0,107.53756287069926,True,27.057799300056473,9.019266433352158,176.12701015201122,99.4499028028241,100.66075183620485,1.2108490333807558
300.0,107.56692723729554,True,27.53299077333793,9.177663591112642,175.75707958455934,100.81862859838071,102.11324328723573,1.2946146888550258
310.0,107.59679579232348,True,27.98192587252224,9.327308624174082,175.38479076704033,102.08800309605188,103.46720888511527,1.37920578906339
320.0,107.62714268085054,True,28.407140360098282,9.469046786699426,175.01031164080564,103.2665839342136,104.73115809638739,1.4645741621737942
330.0,107.65794350660313,True,28.810388206146342,9.603462735382115,174.63382175603357,104.36213422781904,105.91276181083629,1.5506275830172482
340.0,107.68917614645946,True,29.193386592485382,9.731128864161795,174.25547029760287,105.38169181721851,107.01898802403701,1.6372962068185097
350.0,107.7208198598446,True,29.558164652288,9.852721550762666,173.87540976963933,106.33163568138184,108.05620913122678,1.7245734498449334
360.0,107.75285685544992,True,29.906270302104687,9.96875676736823,173.49372704464548,107.21774846173537,109.03017530717598,1.8124268454406152
370.0,107.78526969158187,True,30.23899389513751,10.079664631712504,173.11054570931248,108.04527158928022,109.94608830981147,1.900816720531258
380.0,107.81804332480819,True,30.55785572771974,10.185951909239915,172.7259411903429,108.8189598312401,110.80871329538363,1.989753464143526
390.0,107.85116355970015,True,30.86381108317049,10.287937027723496,172.33998239028824,109.54312826985503,111.62232458521001,2.07919631535498
400.0,107.88461738439698,True,31.1580666085387,10.386022202846235,171.95275612356517,110.22169557971387,112.39085048743456,2.16915490772069
410.0,107.91839317973442,True,31.44080628829649,10.480268762765496,171.56431254118843,110.85822231246665,113.11773371805222,2.2595114055855663
420.0,107.95247830531495,True,31.714377616953726,10.571459205651243,171.17471285279117,111.45594884283608,113.80641936013835,2.350470517302274
430.0,107.98686618668906,True,31.979546578408957,10.659848859469653,170.78397585335958,112.01782538986761,114.45986117453555,2.4420357846679304
440.0,108.02154581660184,True,32.23456659577906,10.744855531926353,170.39216394532647,112.54654059798175,115.08036935169024,2.533828753708489
450.0,108.05650682922756,True,32.48267825730622,10.827559419102075,169.9993391800103,113.0445457502901,115.6707907494477,2.6262449991576124
