volume,atom_index,species,Uxx_A2,Uyy_A2,Uzz_A2,Uxy_A2,Uxz_A2,Uyz_A2,Uiso_A2
V100,1,O,0.005029553859025319,0.004512539597490213,0.005897638229689902,0.00044774748460707877,0.0011458865078155728,0.0006615778837480776,0.005146577228735145
V100,2,O,0.004254032466723461,0.005288060989792721,0.005897638229689894,6.879360702666776e-16,-2.6992606724410037e-16,-0.0013231557674975478,0.005146577228735358
V100,3,O,0.0042540324667234685,0.005288060989792708,0.005897638229689896,6.882326549288989e-16,-2.709172153815983e-16,-0.0013231557674975494,0.005146577228735357
V100,4,O,0.005029553859024207,0.004512539597491364,0.005897638229689969,-0.0004477474846077368,-0.0011458865078166468,0.0006615778837478844,0.0051465772287351795
V100,5,O,0.005029553859024202,0.004512539597491369,0.005897638229689965,-0.0004477474846077374,-0.0011458865078166497,0.0006615778837478855,0.005146577228735179
V100,6,O,0.005029553859025335,0.004512539597490218,0.005897638229689893,0.00044774748460707725,0.0011458865078155709,0.000661577883748077,0.005146577228735148
V100,7,Fe,0.004083789393460878,0.004083789393459595,0.004725678954149729,4.1176576397581304e-17,-5.086586197600091e-16,-2.1512604642524915e-16,0.004297752580356733
V100,8,Fe,0.004083789393460959,0.0040837893934596425,0.004725678954149877,1.5636580401437417e-17,-3.2401736269554547e-16,-1.807621626748134e-16,0.004297752580356826
V100,9,Fe,0.004083789393460955,0.004083789393459634,0.004725678954149883,1.427879786115416e-17,-3.201974217791611e-16,-1.8147957845674578e-16,0.004297752580356824
V100,10,Fe,0.004083789393460875,0.004083789393459596,0.004725678954149724,3.8364222852267317e-17,-5.02585463677161e-16,-2.14796317047663e-16,0.0042977525803567325
V102,1,O,0.005128429863567553,0.004646633638650044,0.006085695802319169,0.00041724777022397025,0.0011154909728049325,0.0006440290134295208,0.005286919768178922
V102,2,O,0.004405735526193784,0.005369327976024133,0.006085695802319156,6.924142200982742e-16,-6.059975375503829e-17,-0.0012880580268529592,0.005286919768179024
V102,3,O,0.0044057355261937926,0.0053693279760241444,0.006085695802319151,6.912301521730712e-16,-6.096659105878465e-17,-0.001288058026852957,0.005286919768179029
V102,4,O,0.005128429863566391,0.004646633638651233,0.006085695802319215,-0.00041724777022455496,-0.0011154909728046105,0.0006440290134298463,0.005286919768178946
V102,5,O,0.005128429863566398,0.004646633638651246,0.00608569580231922,-0.0004172477702245558,-0.0011154909728046097,0.0006440290134298433,0.005286919768178955
V102,6,O,0.005128429863567501,0.004646633638650061,0.006085695802319176,0.00041724777022396863,0.0011154909728049243,0.0006440290134295222,0.005286919768178913
V102,7,Fe,0.004252278651472227,0.004252278651470037,0.004921466582238333,1.6646734100758828e-18,4.272228885548815e-17,2.1545551880659857e-15,0.004475341295060199
V102,8,Fe,0.004252278651472223,0.004252278651470027,0.004921466582238531,8.672903970305659e-17,1.3603601241797815e-16,2.0994503882161474e-15,0.004475341295060261
V102,9,Fe,0.004252278651472225,0.00425227865147002,0.004921466582238521,8.608830192421475e-17,1.3355547679706493e-16,2.100991056630128e-15,0.004475341295060256
V102,10,Fe,0.004252278651472227,0.004252278651470046,0.004921466582238326,3.0506374423750806e-18,4.1958353413477604e-17,2.153475538342769e-15,0.0044753412950602
V104,1,O,0.0052516832471408,0.004802430966505224,0.006311584880102933,0.0003890638877378172,0.0010861437555079007,0.0006270853896212728,0.0054552330312496525
V104,2,O,0.004577804826183562,0.005476309387463587,0.006311584880102765,7.802660316038821e-16,2.3476378682452493e-16,-0.0012541707792422965,0.005455233031249972
V104,3,O,0.004577804826183565,0.00547630938746359,0.006311584880102776,7.799161084586772e-16,2.3537175450062496e-16,-0.0012541707792422991,0.005455233031249976
V104,4,O,0.005251683247137504,0.004802430966508405,0.006311584880102878,-0.00038906388774175314,-0.0010861437555071136,0.0006270853896214708,0.005455233031249596
V104,5,O,0.005251683247137513,0.004802430966508407,0.00631158488010289,-0.00038906388774175325,-0.0010861437555071134,0.0006270853896214705,0.005455233031249604
V104,6,O,0.005251683247140795,0.004802430966505217,0.00631158488010292,0.00038906388773781407,0.001086143755507901,0.0006270853896212734,0.005455233031249643
V104,7,Fe,0.004459854198249992,0.0044598541982507085,0.0051723973496396805,-1.0791238170865603e-15,1.1877738586942424e-16,4.657975908438608e-16,0.004697368582046794
V104,8,Fe,0.004459854198250032,0.004459854198250652,0.0051723973496399685,-1.0099257891270503e-15,5.268321081672954e-16,4.501982765029514e-16,0.004697368582046884
V104,9,Fe,0.004459854198250029,0.004459854198250661,0.005172397349639964,-1.010046179566852e-15,5.266058483748996e-16,4.505183417834741e-16,0.004697368582046884
V104,10,Fe,0.004459854198249996,0.004459854198250708,0.005172397349639687,-1.0789152714967005e-15,1.1835034330803844e-16,4.648554633016531e-16,0.0046973685820467966
