temperature_K,pressure_GPa,Veq_A3_per_10atom_cell,G_relative_eV_per_cell,phonon_volume_extrapolated
0,0,107.1009437732312,2.3846425207848716,True
0,1,106.5230402929358,3.0513020583529658,True
0,2,105.96101503356184,3.7144046071192416,True
0,5,104.3622127611692,5.683310541999079,False
0,10,101.94870688827255,8.901792434958292,False
300,0,107.56692730478044,2.129029033230844,True
300,1,106.96404767929016,2.798518137988111,True
300,2,106.37874848838712,3.46429976363273,True
300,5,104.71887879001468,5.440436871464759,True
300,10,102.22615638576907,8.668750876995084,False
600,0,108.6109471095964,1.2600433164581628,True
600,1,107.95963490714728,1.9358956796615863,True
600,2,107.3292967288039,2.6077490400043546,True
600,5,105.55159241132505,4.600544271243637,True
600,10,102.90637891774833,7.852345237950756,False
900,0,109.86351463628301,0.0,True
900,1,109.15156278000877,0.6834784550376847,True
900,2,108.46525706150163,1.3625942946723795,True
900,5,106.54297996828701,3.3752565291882224,True
900,10,103.71441615231183,6.654979852022942,False
