volume_label,source_file,ionic_step,volume_A3,energy_Ry,energy_eV,is_final
V092,alpha_Fe2O3.eos.out,0,92.5749457884564,-1566.51646395,-21313.54228062139,False
V092,alpha_Fe2O3.eos.out,1,92.5749457884564,-1566.51860296,-21313.57138333504,False
V092,alpha_Fe2O3.eos.out,2,92.5749457884564,-1566.51907765,-21313.57784182151,False
V092,alpha_Fe2O3.eos.out,3,92.5749457884564,-1566.5190781,-21313.577847944067,False
V092,alpha_Fe2O3.eos.out,4,92.5749457884564,-1566.51907822,-21313.57784957675,False
V092,alpha_Fe2O3.eos.out,5,92.5749457884564,-1566.5190783,-21313.57785066521,False
V092,alpha_Fe2O3.eos.out,6,92.5749457884564,-1566.51907837,-21313.577851617607,True
V094,alpha_Fe2O3v094.eos.out,0,94.58745717343099,-1566.54538016,-21313.935705700933,False
V094,alpha_Fe2O3v094.eos.out,1,94.58745717343099,-1566.54733831,-21313.96234768892,False
V094,alpha_Fe2O3v094.eos.out,2,94.58745717343099,-1566.5479178800003,-21313.970233140488,False
V094,alpha_Fe2O3v094.eos.out,3,94.58745717343099,-1566.54791876,-21313.970245113494,False
V094,alpha_Fe2O3v094.eos.out,4,94.58745717343099,-1566.54791921,-21313.970251236056,False
V094,alpha_Fe2O3v094.eos.out,5,94.58745717343099,-1566.54791953,-21313.970255589877,False
V094,alpha_Fe2O3v094.eos.out,6,94.58745717343099,-1566.54791965,-21313.97025722256,False
V094,alpha_Fe2O3v094.eos.out,7,94.58745717343099,-1566.54791966,-21313.97025735862,True
V096,alpha_Fe2O3.eosv096.out,0,96.59995373993442,-1566.56840087,-21314.248918416666,False
V096,alpha_Fe2O3.eosv096.out,1,96.59995373993442,-1566.5701861800003,-21314.273208796658,False
V096,alpha_Fe2O3.eosv096.out,2,96.59995373993442,-1566.5708681399997,-21314.282487335135,False
V096,alpha_Fe2O3.eosv096.out,3,96.59995373993442,-1566.57086939,-21314.282504342256,False
V096,alpha_Fe2O3.eosv096.out,4,96.59995373993442,-1566.57087057,-21314.28252039697,False
V096,alpha_Fe2O3.eosv096.out,5,96.59995373993442,-1566.57087109,-21314.282527471933,False
V096,alpha_Fe2O3.eosv096.out,6,96.59995373993442,-1566.57087116,-21314.28252842433,True
V098,alpha_Fe2O3.eosv098.out,0,98.61245030643786,-1566.58612127,-21314.49001674108,False
V098,alpha_Fe2O3.eosv098.out,1,98.61245030643786,-1566.58774414,-21314.51209701228,False
V098,alpha_Fe2O3.eosv098.out,2,98.61245030643786,-1566.5884991700002,-21314.52236971876,False
V098,alpha_Fe2O3.eosv098.out,3,98.61245030643786,-1566.58852785,-21314.522759930038,False
V098,alpha_Fe2O3.eosv098.out,4,98.61245030643786,-1566.58852887,-21314.522773807843,False
V098,alpha_Fe2O3.eosv098.out,5,98.61245030643786,-1566.58852976,-21314.522785916914,False
V098,alpha_Fe2O3.eosv098.out,6,98.61245030643786,-1566.5885305999998,-21314.522797345693,False
V098,alpha_Fe2O3.eosv098.out,7,98.61245030643786,-1566.5885308,-21314.522800066832,False
V098,alpha_Fe2O3.eosv098.out,8,98.61245030643786,-1566.5885308,-21314.522800066832,True
V100,alpha_Fe2O3.relax.out,0,100.62494687294131,-1566.59901383,-21314.665428956014,False
V100,alpha_Fe2O3.relax.out,1,100.62494687294131,-1566.60048507,-21314.685446195963,False
V100,alpha_Fe2O3.relax.out,2,100.62494687294131,-1566.60127556,-21314.69620136032,False
V100,alpha_Fe2O3.relax.out,3,100.62494687294131,-1566.60136485,-21314.697416212657,False
V100,alpha_Fe2O3.relax.out,4,100.62494687294131,-1566.60136634,-21314.69743648514,False
V100,alpha_Fe2O3.relax.out,5,100.62494687294131,-1566.60136745,-21314.69745158746,False
V100,alpha_Fe2O3.relax.out,6,100.62494687294131,-1566.60136861,-21314.697467370064,False
V100,alpha_Fe2O3.relax.out,7,100.62494687294131,-1566.60136918,-21314.697475125307,False
V100,alpha_Fe2O3.relax.out,8,100.62494687294131,-1566.60136918,-21314.697475125307,True
